TimeUTC,RelativeTimeMins,SatelliteID,VisibleCountries,CachedMovies
2025-09-01 00:01:00,1.01,46047,TR|MD|UA|RO|BG|GR|RS|XK|MK,
2025-09-01 00:01:00,1.01,46048,KZ|RU,
2025-09-01 00:01:00,1.01,46053,BR,
2025-09-01 00:01:00,1.01,46058,AR|CL,
2025-09-01 00:01:00,1.01,46059,JP,
2025-09-01 00:01:00,1.01,46060,MP,
2025-09-01 00:01:00,1.01,46061,FM,
2025-09-01 00:01:00,1.01,46063,TN|DZ|LY,
2025-09-01 00:01:00,1.01,46066,NZ,
2025-09-01 00:01:00,1.01,46070,BR,
2025-09-01 00:01:00,1.01,46073,MA|MR,
2025-09-01 00:01:00,1.01,46074,CN|KZ|RU,
2025-09-01 00:01:00,1.01,46075,BR|PY|AR,
2025-09-01 00:01:00,1.01,46076,PG,
2025-09-01 00:01:00,1.01,46079,RU|KZ,
2025-09-01 00:01:00,1.01,46083,PW|FM,
2025-09-01 00:01:00,1.01,46117,PG|SB,
2025-09-01 00:01:00,1.01,46119,TG|GH|ST|GQ,
2025-09-01 00:01:00,1.01,46120,CA|US,
2025-09-01 00:01:00,1.01,46123,AU,
2025-09-01 00:01:00,1.01,46124,AU,
2025-09-01 00:01:00,1.01,46128,GF|BR,
2025-09-01 00:01:00,1.01,46130,AU,
2025-09-01 00:01:00,1.01,46137,MX,
2025-09-01 00:01:00,1.01,46142,AO|NA,
2025-09-01 00:01:00,1.01,46150,SH,
2025-09-01 00:01:00,1.01,46153,GT|SV|HN|NI,
2025-09-01 00:01:00,1.01,46157,US|CA,
2025-09-01 00:01:00,1.01,46160,AU,
2025-09-01 00:01:00,1.01,46164,US,
2025-09-01 00:01:00,1.01,46167,CA,
2025-09-01 00:01:00,1.01,46171,ZA,
2025-09-01 00:01:00,1.01,46174,SZ|ZA|LS,
2025-09-01 00:01:00,1.01,46326,YE|SO,
2025-09-01 00:01:00,1.01,46328,SD,
2025-09-01 00:01:00,1.01,46329,PF,
2025-09-01 00:01:00,1.01,46330,TN|DZ|LY,
2025-09-01 00:01:00,1.01,46333,CA|US|PM,
2025-09-01 00:01:00,1.01,46344,FR|ES|PT,
2025-09-01 00:01:00,1.01,46347,NF,
2025-09-01 00:01:00,1.01,46348,ES|DZ|MA|PT|GI,
2025-09-01 00:01:00,1.01,46353,MX|US,
2025-09-01 00:01:00,1.01,46356,SA,
2025-09-01 00:01:00,1.01,46357,SO|ET|KE,
2025-09-01 00:01:00,1.01,46359,CA|US,
2025-09-01 00:01:00,1.01,46362,US|CA,
2025-09-01 00:01:00,1.01,46366,US,
2025-09-01 00:01:00,1.01,46372,AU,
2025-09-01 00:01:00,1.01,46375,PT,
2025-09-01 00:01:00,1.01,46535,CN|RU,
2025-09-01 00:01:00,1.01,46538,OM|YE,
2025-09-01 00:01:00,1.01,46556,SO|ET,
2025-09-01 00:01:00,1.01,46557,CN|RU,
2025-09-01 00:01:00,1.01,46558,CN|RU,
2025-09-01 00:01:00,1.01,46559,AR,
2025-09-01 00:01:00,1.01,46562,PF,
2025-09-01 00:01:00,1.01,46563,CN|RU,
2025-09-01 00:01:00,1.01,46564,MN|RU,
2025-09-01 00:01:00,1.01,46574,CN|KZ,
2025-09-01 00:01:00,1.01,46576,RU,
2025-09-01 00:01:00,1.01,46578,KZ|RU,
2025-09-01 00:01:00,1.01,46579,KG|KZ,
2025-09-01 00:01:00,1.01,46582,KG|KZ|UZ|TJ|TM,
2025-09-01 00:01:00,1.01,46588,CN|RU,
2025-09-01 00:01:00,1.01,46674,PA|CO,
2025-09-01 00:01:00,1.01,46685,NL|VC|GD|VE|CO|TT|GY,
2025-09-01 00:01:00,1.01,46689,PH,
2025-09-01 00:01:00,1.01,46691,ID|CX,
2025-09-01 00:01:00,1.01,46698,BR|PY|AR,
2025-09-01 00:01:00,1.01,46699,US,
2025-09-01 00:01:00,1.01,46700,CA|US,
2025-09-01 00:01:00,1.01,46702,AR,
2025-09-01 00:01:00,1.01,46705,US,
2025-09-01 00:01:00,1.01,46706,JP,
2025-09-01 00:01:00,1.01,46712,JP,
2025-09-01 00:01:00,1.01,46713,JP,
2025-09-01 00:01:00,1.01,46715,CA|US,
2025-09-01 00:01:00,1.01,46717,RU,
2025-09-01 00:01:00,1.01,46723,AR|UY,
2025-09-01 00:01:00,1.01,46725,BR,
2025-09-01 00:01:00,1.01,46743,CA|PM,
2025-09-01 00:01:00,1.01,46749,AU,
2025-09-01 00:01:00,1.01,46753,CA,
2025-09-01 00:01:00,1.01,46758,PT,
2025-09-01 00:01:00,1.01,46782,AU,
2025-09-01 00:01:00,1.01,46784,CA|US,
2025-09-01 00:01:00,1.01,46790,MZ|BW|ZW|ZA|SZ|LS,
2025-09-01 00:01:00,1.01,46792,SB|VU,
